C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2023/07/22,02:00:01,0000000392649909,,0000000392649908
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",43,1974
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",44,1921
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",45,1843
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",46,1753
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",47,1667
D,DEMAND,HISTORIC,1,SA1,"2023/07/21 00:00:00",48,1708
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",1,1093
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",2,1101
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",3,1127
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",4,1113
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",5,1110
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",6,1092
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",7,1128
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",8,1100
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",9,1104
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",10,1123
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",11,1139
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",12,1195
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",13,1263
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",14,1311
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",15,1384
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",16,1443
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",17,1458
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",18,1459
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",19,1430
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",20,1388
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",21,1308
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",22,1301
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",23,1222
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",24,1154
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",25,1134
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",26,1143
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",27,1152
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",28,1136
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",29,1126
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",30,1143
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",31,1182
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",32,1189
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",33,1243
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",34,1305
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",35,1388
D,DEMAND,HISTORIC,1,TAS1,"2023/07/21 00:00:00",36,1428
